- 2023-11-18 09:13:19,996 [main] INFO  o.a.i.c.c.ConfigNodeDescriptor:105 - Start to read config file file:/iotdb/sbin/../conf/iotdb-common.properties 
- 2023-11-18 09:13:20,000 [main] INFO  o.a.i.c.c.ConfigNodeDescriptor:124 - start reading ConfigNode conf file: file:/iotdb/sbin/../conf/iotdb-confignode.properties 
- 2023-11-18 09:13:20,019 [main] INFO  o.a.i.c.s.ConfigNode:99 - IoTDB-ConfigNode environment variables: 
- 2023-11-18 09:13:20,020 [main] INFO  o.a.i.c.s.ConfigNode:103 - IoTDB-ConfigNode default charset is: UTF-8 
- 2023-11-18 09:13:20,021 [main] INFO  o.a.i.c.s.ConfigNodeCommandLine:68 - Running mode -s 
- 2023-11-18 09:13:20,021 [main] INFO  o.a.i.c.s.ConfigNodeCommandLine:72 - Starting IoTDB 1.2.2 (Build: UNKNOWN) 
- 2023-11-18 09:13:20,024 [main] INFO  o.a.i.c.c.ConfigNodeStartupCheck:65 - configNode port check successful. 
- 2023-11-18 09:13:20,025 [main] INFO  o.a.i.c.s.StartupChecks:59 - Start JMX locally. 
- 2023-11-18 09:13:20,026 [main] INFO  o.a.i.c.s.StartupChecks:45 - JDK version is 11. 
- 2023-11-18 09:13:20,026 [main] INFO  o.a.i.c.c.ConfigNodeStartupCheck:201 - Make dirs: /iotdb/sbin/../data/confignode/system 
- 2023-11-18 09:13:20,027 [main] INFO  o.a.i.c.c.ConfigNodeStartupCheck:201 - Make dirs: /iotdb/sbin/../data/confignode/consensus 
- 2023-11-18 09:13:20,031 [main] INFO  o.a.i.c.s.ConfigNode:111 - Activating IoTDB-ConfigNode... 
- 2023-11-18 09:13:20,033 [main] DEBUG o.a.i.c.s.JMXService:84 - JMX ServerService JMX port is undefined 
- 2023-11-18 09:13:20,034 [main] INFO  o.a.i.c.s.ConfigNode:249 - Successfully setup internal services. 
- 2023-11-18 09:13:20,062 [main] INFO  o.a.i.c.a.a.BasicAuthorizer$InstanceHolder:98 - Authorizer provider class: org.apache.iotdb.commons.auth.authorizer.LocalFileAuthorizer 
- 2023-11-18 09:13:20,066 [main] INFO  o.a.i.c.a.u.LocalFileUserAccessor:285 - user info dir /iotdb/data/confignode/system/users is created 
- 2023-11-18 09:13:20,157 [main] INFO  o.a.i.c.a.u.BasicUserManager:88 - Admin initialized 
- 2023-11-18 09:13:20,159 [main] INFO  o.a.i.c.a.u.BasicUserManager:88 - Admin initialized 
- 2023-11-18 09:13:20,160 [main] INFO  o.a.i.c.a.r.LocalFileRoleAccessor:239 - role info dir /iotdb/data/confignode/system/roles is created 
- 2023-11-18 09:13:20,160 [main] INFO  o.a.i.c.a.a.BasicAuthorizer:74 - Initialization of Authorizer completes 
- 2023-11-18 09:13:20,208 [main] INFO  o.a.i.c.c.IoTDBThreadPoolFactory:148 - new cached thread pool: ConfigNode-Manager-Recovery 
- 2023-11-18 09:13:20,228 [main] INFO  o.a.i.c.c.IoTDBThreadPoolFactory:203 - new single scheduled thread pool: IoTDB-Region-Maintainer 
- 2023-11-18 09:13:20,233 [main] INFO  o.a.i.c.p.s.ConfigProcedureStore:143 - Make procedure wal dir: /iotdb/data/confignode/system/procedure 
- 2023-11-18 09:13:20,241 [main] INFO  o.a.i.c.c.IoTDBThreadPoolFactory:223 - new scheduled thread pool: CQ-Scheduler 
- 2023-11-18 09:13:20,245 [main] INFO  o.a.i.c.c.IoTDBThreadPoolFactory:115 - new single thread pool: Pipe-Runtime-Procedure-Submitter 
- 2023-11-18 09:13:20,248 [main] INFO  o.a.i.c.c.IoTDBThreadPoolFactory:203 - new single scheduled thread pool: Pipe-Runtime-Meta-Syncer 
